StockCode,Avg_Daily_Demand,Std_Daily_Demand,Max_Daily_Demand,Min_Daily_Demand,Active_Days,Description,Avg_UnitPrice,Total_Revenue,Safety_Stock,Reorder_Point,EOQ,Days_Coverage,Revenue_Cumsum_Pct,ABC_Category,Stock_Risk
M,25.541114058355436,126.33796296017196,1686,1,377,Manual,394.31801418439716,339226.24,550.0,729.0,97.0,3.8,7.609792011039948,A — Critical,🟢 LOW RISK
22423,51.5136186770428,53.79030117344521,432,1,514,REGENCY CAKESTAND 3 TIER,14.190417721518987,330590.32,234.0,595.0,728.0,14.1,15.025856216636605,A — Critical,🟢 LOW RISK
DOT,3.2086167800453516,3.652772065729307,26,1,441,DOTCOM POSTAGE,218.9781696113074,309854.11,16.0,38.0,46.0,14.4,21.976749316374093,A — Critical,🟢 LOW RISK
85123A,156.22388059701493,214.70998277797258,3114,3,603,WHITE HANGING HEART T-LIGHT HOLDER,3.0761749228815094,257724.71,934.0,2028.0,2723.0,17.4,27.7582343783952,A — Critical,🟢 LOW RISK
85099B,164.27334465195247,181.8537808367223,1583,1,589,JUMBO BAG RED WHITE SPOTTY ,2.330321622958931,180569.34,791.0,1941.0,3208.0,19.5,31.808908998880803,A — Critical,🟢 LOW RISK
23843,80995.0,0.0,80995,80995,1,"PAPER CRAFT , LITTLE BIRDIE",2.08,168469.6,0.0,566965.0,75400.0,0.9,35.58815265698666,A — Critical,🔴 HIGH RISK
47566,52.125693160813306,64.44913947741856,385,1,541,PARTY BUNTING,5.718177449168207,148318.28,280.0,645.0,1154.0,22.1,38.91534592551207,A — Critical,🟢 LOW RISK
84879,137.5979381443299,240.51744962845393,3359,1,582,ASSORTED COLOUR BIRD ORNAMENT,1.8590344101123595,129324.49,1047.0,2010.0,3287.0,23.9,41.81645543530063,A — Critical,🟢 LOW RISK
POST,10.433852140077821,8.405912123105363,83,1,514,POSTAGE,29.466515397082656,125682.42,37.0,110.0,227.0,21.8,44.6358631428063,A — Critical,🟢 LOW RISK
22086,114.65359477124183,176.96057985636463,1167,1,306,PAPER CHAIN KIT 50'S CHRISTMAS ,3.3699274661508705,117760.29000000001,770.0,1573.0,2229.0,19.4,47.277555348160895,A — Critical,🟢 LOW RISK
23166,624.264,6635.405617744854,74215,1,125,MEDIUM CERAMIC TOP STORAGE JAR,1.46848,81700.92000000001,28879.0,33249.0,7878.0,12.6,49.110335171769506,A — Critical,🟢 LOW RISK
79321,36.41609195402299,65.8967508159706,650,1,435,CHILLI LIGHTS,6.290666082383875,80540.88,287.0,542.0,919.0,25.2,50.91709205822418,A — Critical,🟢 LOW RISK
22197,157.1918294849023,355.67687783687296,4314,1,563,"POPCORN HOLDER , SMALL ",1.0331487743026204,79520.2,1548.0,2648.0,4713.0,30.0,52.70095224155287,A — Critical,🟢 LOW RISK
