StockCode,Description,ABC_Category,Stock_Risk,Avg_Daily_Demand,Safety_Stock,Reorder_Point,EOQ,Days_Coverage,Avg_UnitPrice,Est_Order_Cost
23843,"PAPER CRAFT , LITTLE BIRDIE",A — Critical,🔴 HIGH RISK,80995.0,0.0,566965.0,75400.0,0.9,2.08,156832.0
23166,MEDIUM CERAMIC TOP STORAGE JAR,A — Critical,🟢 LOW RISK,624.264,28879.0,33249.0,7878.0,12.6,1.46848,11568.69
23084,RABBIT NIGHT LIGHT,A — Critical,🟢 LOW RISK,226.02205882352942,1871.0,3453.0,3719.0,16.5,2.386401179941003,8875.03
85099B,JUMBO BAG RED WHITE SPOTTY ,A — Critical,🟢 LOW RISK,164.27334465195247,791.0,1941.0,3208.0,19.5,2.330321622958931,7475.67
22197,"POPCORN HOLDER , SMALL ",A — Critical,🟢 LOW RISK,157.1918294849023,1548.0,2648.0,4713.0,30.0,1.0331487743026204,4869.23
85123A,WHITE HANGING HEART T-LIGHT HOLDER,A — Critical,🟢 LOW RISK,156.22388059701493,934.0,2028.0,2723.0,17.4,3.0761749228815094,8376.42
84879,ASSORTED COLOUR BIRD ORNAMENT,A — Critical,🟢 LOW RISK,137.5979381443299,1047.0,2010.0,3287.0,23.9,1.8590344101123595,6110.65
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,A — Critical,🟢 LOW RISK,122.21400778210116,2791.0,3646.0,2310.0,18.9,3.3425352112676054,7721.26
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,A — Critical,🟢 LOW RISK,114.65359477124183,770.0,1573.0,2229.0,19.4,3.3699274661508705,7511.57
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,A — Critical,🟢 LOW RISK,87.89622641509433,395.0,1011.0,1972.0,22.4,3.300415224913495,6508.42
22386,JUMBO BAG PINK WITH WHITE SPOTS,A — Critical,🟢 LOW RISK,73.43947858472998,420.0,934.0,2108.0,28.7,2.4137373292199205,5088.16
20725,LUNCH BAG RED SPOTTY,A — Critical,🟢 LOW RISK,67.87373737373737,279.0,754.0,2197.0,32.4,2.0539255663430422,4512.47
85099F,JUMBO BAG STRAWBERRY,A — Critical,🟢 LOW RISK,67.26277372262774,487.0,958.0,2069.0,30.8,2.2943027027027028,4746.91
85099C,JUMBO  BAG BAROQUE BLACK WHITE,A — Critical,🟢 LOW RISK,54.714285714285715,313.0,696.0,1821.0,33.3,2.408958223162348,4386.71
21137,BLACK RECORD COVER FRAME,A — Critical,🟢 LOW RISK,54.15895953757225,470.0,849.0,1381.0,25.5,4.146305031446541,5726.05
47566,PARTY BUNTING,A — Critical,🟢 LOW RISK,52.125693160813306,280.0,645.0,1154.0,22.1,5.718177449168207,6598.78
22423,REGENCY CAKESTAND 3 TIER,A — Critical,🟢 LOW RISK,51.5136186770428,234.0,595.0,728.0,14.1,14.190417721518987,10330.62
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,A — Critical,🟢 LOW RISK,50.52037037037037,255.0,609.0,1735.0,34.3,2.4509913988229965,4252.47
21931,JUMBO STORAGE BAG SUKI,A — Critical,🟢 LOW RISK,50.4006908462867,246.0,599.0,1704.0,33.8,2.533375850340136,4316.87
79321,CHILLI LIGHTS,A — Critical,🟢 LOW RISK,36.41609195402299,287.0,542.0,919.0,25.2,6.290666082383875,5781.12
22114,HOT WATER BOTTLE TEA AND SYMPATHY,A — Critical,🟢 LOW RISK,32.89295774647887,189.0,419.0,1003.0,30.5,4.774289292423294,4788.61
M,Manual,A — Critical,🟢 LOW RISK,25.541114058355436,550.0,729.0,97.0,3.8,394.31801418439716,38248.85
22112,CHOCOLATE HOT WATER BOTTLE,A — Critical,🟢 LOW RISK,25.26255707762557,135.0,312.0,794.0,31.4,5.849994269340974,4644.9
15056N,EDWARDIAN PARASOL NATURAL,A — Critical,🟢 LOW RISK,23.76,243.0,410.0,713.0,30.0,6.818394230769231,4861.52
82484,WOOD BLACK BOARD ANT WHITE FINISH,A — Critical,🟢 LOW RISK,22.445205479452056,309.0,466.0,648.0,28.9,7.810832625318607,5061.42
48138,DOOR MAT UNION FLAG,A — Critical,🟢 LOW RISK,19.378846153846155,168.0,303.0,593.0,30.6,8.034214628297361,4764.29
20685,RED SPOTTY COIR DOORMAT,A — Critical,🟢 LOW RISK,18.25186567164179,140.0,268.0,563.0,30.9,8.403582175925926,4731.22
21621,VINTAGE UNION JACK BUNTING,A — Critical,🟢 LOW RISK,13.96761133603239,120.0,218.0,468.0,33.5,9.307857689364958,4356.08
22502,PICNIC BASKET WICKER SMALL,A — Critical,🟢 LOW RISK,12.267100977198696,66.0,152.0,471.0,38.4,8.060515574650912,3796.5
21843,RETRO SPOT CAKE STAND,A — Critical,🟢 LOW RISK,11.717017208413003,96.0,178.0,374.0,31.9,12.239633747547416,4577.62
POST,POSTAGE,A — Critical,🟢 LOW RISK,10.433852140077821,37.0,110.0,227.0,21.8,29.466515397082656,6688.9
